stop_id,stop_name,stop_lat,stop_lon,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,sample_size,last_updated
8250DB003159,Cemetery,53.2824610519858,-6.16591951409938,weekday,evening,,0.0,8.81,1.43,3,2026-07-03 02:53:36.731074
8250DB007921,Newtownpark Avenue,53.28928,-6.176358,weekday,evening,4.5,100.0,0.07,0.62,55,2026-07-03 02:53:36.731074
8250DB003165,Carysfort Avenue,53.299346,-6.179735,weekday,pm_peak,,50.0,3.98,3.48,2,2026-07-03 02:53:36.731074
8250DB003124,South Park,53.2694440887987,-6.15938501282582,weekday,pm_peak,,100.0,0.97,,1,2026-07-03 02:53:36.731074
8250DB003151,Glen Estate,53.2646140592958,-6.15917272755766,weekday,evening,,100.0,0.7,,1,2026-07-03 02:53:36.731074
8250DB003255,Cornelscourt SC,53.2664828488635,-6.16320030317318,weekday,evening,,100.0,1.28,1.06,3,2026-07-03 02:53:36.731074
8250DB002039,Dun Laoghaire Stn,53.2948871708134,-6.13490268686881,weekday,evening,4.5,93.6,0.59,1.99,187,2026-07-03 02:53:36.731074
8250DB002035,Crofton Road,53.295772349365,-6.14266542172264,weekday,evening,3.0,83.7,2.94,7.26,43,2026-07-03 02:53:36.731074
8250DB004774,Leopardstown Valley,53.2581461851596,-6.19824268011943,weekday,evening,4.5,96.8,0.42,1.27,31,2026-07-03 02:53:36.731074
8350DB004278,Tennis Club,53.1327710607622,-6.07171769441289,weekday,pm_peak,,100.0,2.32,0.94,4,2026-07-03 02:53:36.731074
8350DB004246,Glenbrook Park,53.1242396248687,-6.07331005418816,weekday,evening,4.5,100.0,-0.47,2.6,31,2026-07-03 02:53:36.731074
8230DB007773,Liffey Avenue,53.353687,-6.413122,weekday,pm_peak,,100.0,3.38,,1,2026-07-03 02:53:36.731074
8230DB007752,Esker Park,53.352401,-6.430806,weekday,evening,,100.0,2.57,,1,2026-07-03 02:53:36.731074
8250DB003225,Ballybrack SC,53.255295,-6.133853,weekday,evening,4.0,90.7,2.01,6.47,54,2026-07-03 02:53:36.731074
8250DB003232,Pearse Villas,53.271604,-6.140445,weekday,evening,,88.9,2.15,6.26,27,2026-07-03 02:53:36.731074
8240DB006127,Marymount Care Ctr,53.374139,-6.440046,weekday,pm_peak,,0.0,13.57,0.0,2,2026-07-03 02:53:36.731074
8240DB004826,Westmanstown Sports,53.37954,-6.439368,weekday,pm_peak,,0.0,12.93,0.0,2,2026-07-03 02:53:36.731074
8240DB001897,Castlefield Woods,53.383112,-6.410345,weekday,pm_peak,,0.0,5.87,0.24,2,2026-07-03 02:53:36.731074
8240DB004493,Mountview Road,53.390582,-6.400323,weekday,evening,3.5,86.7,1.46,4.11,45,2026-07-03 02:53:36.731074
8230DB002202,Kennelsfort Road,53.354382,-6.373302,weekday,evening,,100.0,0.62,0.87,2,2026-07-03 02:53:36.731074
8220DB002689,Blackditch Drive,53.343106,-6.363744,weekday,pm_peak,,100.0,-0.16,1.3,14,2026-07-03 02:53:36.731074
8220DB004407,Victoria Quay,53.346488,-6.285165,weekday,pm_peak,2.0,68.6,4.26,5.54,35,2026-07-03 02:53:36.731074
8220DB008314,Croaghpatrick Rd,53.36447,-6.30892,weekday,pm_peak,,100.0,1.48,,1,2026-07-03 02:53:36.731074
8220DB001708,Mc Kee Park,53.35735,-6.29863,weekday,evening,,100.0,1.57,0.32,4,2026-07-03 02:53:36.731074
8220DB001528,St David's Terrace,53.356195,-6.294,weekday,pm_peak,,100.0,0.18,,1,2026-07-03 02:53:36.731074
8220DB000155,Ol Finglas Rd,53.37792,-6.27951,weekday,evening,,100.0,1.27,1.19,7,2026-07-03 02:53:36.731074
8220DB008310,Glasnevin Woods,53.375599,-6.28725,weekday,evening,,100.0,0.91,1.34,7,2026-07-03 02:53:36.731074
8220DB001707,Dunard Walk,53.358428,-6.30246,weekday,pm_peak,,8.3,7.19,1.7,12,2026-07-03 02:53:36.731074
8220DB008299,Lagan Road,53.375324,-6.299971,weekday,evening,,69.2,2.86,2.99,13,2026-07-03 02:53:36.731074
8220DB008305,Grace Park Rd,53.373883,-6.242673,weekday,evening,,0.0,6.1,,1,2026-07-03 02:53:36.731074
8220DB001649,Manor Street,53.35256,-6.28428,weekday,pm_peak,,15.4,13.45,4.59,13,2026-07-03 02:53:36.731074
8220DB007130,Cromcastle Grn,53.393073,-6.220696,weekday,evening,4.5,97.9,0.46,1.37,48,2026-07-03 02:53:36.731074
8240GD007847,Santry Villas,53.3978,-6.244921,weekday,pm_peak,,100.0,1.87,0.19,2,2026-07-03 02:53:36.731074
8220DB000107,Crannogue Road,53.4023798987989,-6.28049690990612,weekday,evening,,100.0,1.56,1.61,10,2026-07-03 02:53:36.731074
8240DB006230,Meakstown Ctr,53.401409,-6.296809,weekday,evening,4.5,98.7,0.0,0.77,75,2026-07-03 02:53:36.731074
8220DB004938,Gofton Hall,53.390862,-6.298357,weekday,evening,,100.0,-2.76,4.7,10,2026-07-03 02:53:36.731074
8220DB007112,Larch Hill,53.397549,-6.229171,weekday,evening,,100.0,-3.13,4.43,2,2026-07-03 02:53:36.731074
8240DB000973,Coolock Lane,53.398226,-6.242723,weekday,evening,,100.0,-4.03,3.71,7,2026-07-03 02:53:36.731074
8220GD007841,Brookville Crescent,53.389683,-6.19842,weekday,evening,,100.0,-1.67,0.46,3,2026-07-03 02:53:36.731074
8250DB003193,Newtownpark Avenue,53.279834,-6.183338,weekday,evening,,100.0,2.1,,1,2026-07-03 02:53:36.731074
8250DB003195,Meadow Close,53.284895,-6.177544,weekday,pm_peak,,100.0,0.65,0.0,2,2026-07-03 02:53:36.731074
8220DB007943,Highfield Road,53.312739,-6.270385,weekday,pm_peak,,100.0,-2.47,3.43,3,2026-07-03 02:53:36.731074
8220DB002185,Balfe Road,53.324259,-6.32749,weekday,pm_peak,,72.0,2.84,3.8,25,2026-07-03 02:53:36.731074
8220DB001119,Parkmore Drive,53.310936,-6.292414,weekday,evening,,100.0,0.28,0.99,26,2026-07-03 02:53:36.731074
8220DB002786,Kylemore Luas,53.327842,-6.343369,weekday,pm_peak,,100.0,-0.29,1.25,4,2026-07-03 02:53:36.731074
8220DB002785,Bluebell Avenue,53.330084,-6.344964,weekday,pm_peak,,100.0,-2.4,,1,2026-07-03 02:53:36.731074
8230DB007976,Liffey Valley W,53.352713,-6.396079,weekday,pm_peak,,57.7,0.1,7.1,26,2026-07-03 02:53:36.731074
8220DB002102,Balfe Road,53.324195,-6.326142,weekday,pm_peak,,20.0,8.49,6.45,15,2026-07-03 02:53:36.731074
8220DB002782,Bluebell Avenue,53.330677,-6.345617,weekday,evening,,100.0,-3.75,0.76,4,2026-07-03 02:53:36.731074
8220DB002652,Kylemore Avenue,53.3388459496904,-6.34810890913175,weekday,pm_peak,,100.0,-2.02,,1,2026-07-03 02:53:36.731074
8220DB002656,Ballyfermot,53.342624,-6.358716,weekday,evening,,75.0,-0.4,6.08,4,2026-07-03 02:53:36.731074
8220DB002101,Drimnagh Rd,53.324955,-6.318171,weekday,evening,,100.0,-2.36,0.5,8,2026-07-03 02:53:36.731074
8220DB007958,Drimnagh Road,53.32452,-6.32382,weekday,pm_peak,,100.0,-2.32,,1,2026-07-03 02:53:36.731074
8220DB002331,Saint Mary's Road,53.324572,-6.317795,weekday,pm_peak,,100.0,-0.04,1.17,13,2026-07-03 02:53:36.731074
