route_id,day_type,hour_bucket,score_1_to_5,pct_on_time,avg_delay_minutes,delay_stddev_minutes,cancellation_rate,sample_size,last_updated
1 H3 c a,weekday,pm_peak,3.5,83.2,1.26,3.62,0.0,345,2026-07-02 18:20:24.428456
1 L89 a,weekday,evening,4.5,100.0,-0.01,0.01,0.0,192,2026-07-02 18:20:24.428456
1 X1 a,weekday,pm_peak,2.0,60.0,5.41,5.61,0.0,150,2026-07-02 18:20:24.428456
1 X28 d,weekday,pm_peak,4.5,100.0,-8.1,4.81,0.0,78,2026-07-02 18:20:24.428456
1 151 c a,weekday,pm_peak,1.5,57.1,4.04,4.08,0.0,629,2026-07-02 18:20:24.428456
1 151 c a,weekday,evening,4.5,98.2,0.19,1.28,0.0,1177,2026-07-02 18:20:24.428456
1 15B c a,weekday,evening,4.5,98.3,0.23,1.47,0.0,1854,2026-07-02 18:20:24.428456
1 23 a,weekday,pm_peak,2.0,67.0,4.6,5.96,0.0,400,2026-07-02 18:20:24.428456
1 27A c a,weekday,evening,4.5,100.0,0.08,0.36,0.0,423,2026-07-02 18:20:24.428456
1 33X c a,weekday,evening,,0.0,23.47,1.26,0.0,18,2026-07-02 18:20:24.428456
1 37 c a,weekday,pm_peak,2.5,64.6,3.69,4.57,0.0,723,2026-07-02 18:20:24.428456
1 38A c a,weekday,pm_peak,1.0,58.6,6.24,5.36,0.0,285,2026-07-02 18:20:24.428456
2 170 a,weekday,evening,,92.3,2.66,2.54,0.0,26,2026-07-02 18:20:24.428456
2 174 c a,weekday,evening,4.5,100.0,0.14,0.73,0.0,73,2026-07-02 18:20:24.428456
2 174B c a,weekday,evening,4.5,99.0,0.99,1.58,0.0,102,2026-07-02 18:20:24.428456
2 201 c a,weekday,pm_peak,1.0,38.9,9.58,6.28,0.0,90,2026-07-02 18:20:24.428456
2 100 c e,weekday,pm_peak,4.5,100.0,-0.29,2.11,0.0,80,2026-07-02 18:20:24.428456
2 207 c a,weekday,evening,1.0,16.1,28.42,27.6,0.0,168,2026-07-02 18:20:24.428456
2 103 c a,weekday,pm_peak,1.0,49.9,7.57,6.52,0.0,726,2026-07-02 18:20:24.428456
2 212 c a,weekday,evening,2.5,74.1,3.12,4.03,0.0,81,2026-07-02 18:20:24.428456
2 220 c b,weekday,evening,1.0,33.8,19.79,19.83,0.0,717,2026-07-02 18:20:24.428456
2 220X c d,weekday,pm_peak,1.0,25.1,23.49,21.25,0.0,319,2026-07-02 18:20:24.428456
2 225L c a,weekday,evening,,100.0,-3.3,0.68,0.0,19,2026-07-02 18:20:24.428456
2 23 e,weekday,evening,4.5,100.0,-0.12,1.01,0.0,49,2026-07-02 18:20:24.428456
2 105 c a,weekday,pm_peak,1.0,54.3,6.05,5.97,0.0,643,2026-07-02 18:20:24.428456
2 236 c c,weekday,pm_peak,1.0,23.9,6.73,2.45,0.0,46,2026-07-02 18:20:24.428456
2 237 c b,weekday,pm_peak,1.0,0.0,28.21,10.93,0.0,176,2026-07-02 18:20:24.428456
2 237 c b,weekday,evening,1.0,9.1,44.89,23.82,0.0,110,2026-07-02 18:20:24.428456
2 241 c b,weekday,evening,,0.0,20.07,1.75,0.0,22,2026-07-02 18:20:24.428456
2 245 c a,weekday,pm_peak,1.0,41.8,24.01,27.72,0.0,268,2026-07-02 18:20:24.428456
2 257 c a,weekday,pm_peak,1.0,26.4,33.13,30.95,0.0,87,2026-07-02 18:20:24.428456
2 105X c a,weekday,evening,,100.0,-2.1,0.0,0.0,9,2026-07-02 18:20:24.428456
2 314 e,weekday,pm_peak,3.5,89.0,2.58,2.16,0.0,100,2026-07-02 18:20:24.428456
2 317 a,weekday,pm_peak,2.5,72.2,2.29,2.74,0.0,79,2026-07-02 18:20:24.428456
2 328 d,weekday,pm_peak,4.5,100.0,-1.13,0.89,0.0,45,2026-07-02 18:20:24.428456
2 336 g,weekday,evening,4.5,100.0,2.52,2.4,0.0,56,2026-07-02 18:20:24.428456
2 109A c b,weekday,pm_peak,1.0,7.9,16.85,13.96,0.0,416,2026-07-02 18:20:24.428456
2 345 c a,weekday,evening,4.5,100.0,0.77,0.74,0.0,39,2026-07-02 18:20:24.428456
2 40 d,weekday,evening,1.0,26.6,18.61,13.82,0.0,124,2026-07-02 18:20:24.428456
2 402 c a,weekday,pm_peak,1.0,46.6,7.64,7.02,0.0,457,2026-07-02 18:20:24.428456
2 109B d,weekday,pm_peak,4.5,100.0,2.95,0.87,0.0,126,2026-07-02 18:20:24.428456
2 404 c a,weekday,evening,3.5,79.8,2.18,2.86,0.0,193,2026-07-02 18:20:24.428456
2 409 c a,weekday,evening,4.5,100.0,-0.09,2.0,0.0,202,2026-07-02 18:20:24.428456
2 419 c a,weekday,pm_peak,4.5,100.0,1.58,2.59,0.0,114,2026-07-02 18:20:24.428456
2 424 c a,weekday,pm_peak,1.0,52.3,6.57,12.76,0.0,354,2026-07-02 18:20:24.428456
2 425A c a,weekday,pm_peak,1.0,0.0,12.94,0.82,0.0,55,2026-07-02 18:20:24.428456
2 429 c c,weekday,pm_peak,4.5,100.0,3.46,1.01,0.0,34,2026-07-02 18:20:24.428456
2 458 c a,weekday,pm_peak,1.0,8.6,8.99,3.08,0.0,139,2026-07-02 18:20:24.428456
2 111 d,weekday,pm_peak,1.5,41.2,5.71,3.99,0.0,250,2026-07-02 18:20:24.428456
2 480 d,weekday,evening,3.5,82.2,2.43,2.59,0.0,45,2026-07-02 18:20:24.428456
2 CW2 a,weekday,pm_peak,1.0,12.5,13.35,6.94,0.0,385,2026-07-02 18:20:24.428456
2 115 c a,weekday,evening,3.5,88.9,1.43,4.71,0.0,126,2026-07-02 18:20:24.428456
2 115C d,weekday,pm_peak,1.5,59.6,4.65,2.86,0.0,114,2026-07-02 18:20:24.428456
2 S3 a,weekday,pm_peak,,54.2,4.78,3.18,0.0,24,2026-07-02 18:20:24.428456
2 115X a,weekday,evening,,100.0,1.2,5.8,0.0,22,2026-07-02 18:20:24.428456
2 13 d,weekday,pm_peak,1.0,44.6,12.44,14.38,0.0,101,2026-07-02 18:20:24.428456
10000 RED g a,weekday,evening,3.0,76.5,-7.46,16.36,0.0,2562,2026-07-02 18:20:24.428456
10000 RED g a,weekday,pm_peak,,85.7,-7.65,16.22,0.0,14,2026-07-02 18:20:24.428456
3 L2 a,weekday,evening,3.5,82.0,2.22,3.63,0.0,189,2026-07-02 18:20:24.428456
3 104 d a,weekday,pm_peak,,0.0,11.25,2.76,0.0,8,2026-07-02 18:20:24.428456
3 L3 a,weekday,pm_peak,2.5,69.2,1.93,3.77,0.0,39,2026-07-02 18:20:24.428456
3 L51 c,weekday,pm_peak,1.5,45.5,4.53,1.85,0.0,44,2026-07-02 18:20:24.428456
3 L55 a,weekday,pm_peak,,100.0,-1.39,1.92,0.0,5,2026-07-02 18:20:24.428456
3 N6,weekday,pm_peak,4.5,91.7,0.08,3.92,0.0,132,2026-07-02 18:20:24.428456
3 S4 a,weekday,evening,4.5,99.4,-1.08,4.9,0.0,684,2026-07-02 18:20:24.428456
3 S6 a,weekday,evening,3.0,84.5,-0.85,5.2,0.0,489,2026-07-02 18:20:24.428456
3 102 d a,weekday,evening,3.5,77.9,2.95,3.97,0.0,271,2026-07-02 18:20:24.428456
3 236 d a,weekday,pm_peak,,100.0,4.26,0.24,0.0,23,2026-07-02 18:20:24.428456
3 33B d a,weekday,pm_peak,,100.0,-0.65,2.65,0.0,19,2026-07-02 18:20:24.428456
03C 120F e a,weekday,pm_peak,4.5,100.0,0.46,1.12,0.0,94,2026-07-02 18:20:24.428456
DUB-BFT-I,weekday,evening,4.5,100.0,-0.54,1.44,0.0,97,2026-07-02 18:20:24.428456
DUB-DRO/DUN-O,weekday,pm_peak,2.5,64.2,6.74,4.43,0.0,123,2026-07-02 18:20:24.428456
DUB-GALWAY-I,saturday,evening,4.5,100.0,0.41,1.15,0.0,123,2026-07-02 18:20:24.428456
DUB-LIMERICK-I,saturday,pm_peak,,100.0,0.0,0.0,0.0,23,2026-07-02 18:20:24.428456
DUB-MAYNOOTH-O,weekday,evening,4.5,100.0,0.99,2.06,0.0,241,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-I,weekday,pm_peak,3.5,89.3,2.52,1.94,0.0,103,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-I,weekday,evening,4.5,100.0,0.54,0.57,0.0,87,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-O,saturday,pm_peak,2.5,66.7,3.88,2.13,0.0,102,2026-07-02 18:20:24.428456
DUB-PORTLAOIS-O,weekday,pm_peak,4.5,100.0,1.18,1.59,0.0,226,2026-07-02 18:20:24.428456
DUB-TRALEE-I,saturday,evening,4.5,100.0,-0.14,0.35,0.0,86,2026-07-02 18:20:24.428456
DUB-TRALEE-O,saturday,evening,4.5,100.0,-2.89,2.58,0.0,63,2026-07-02 18:20:24.428456
DUB-WESTPORT-I,saturday,evening,4.5,100.0,0.0,0.0,0.0,62,2026-07-02 18:20:24.428456
1 120 c a,weekday,evening,4.5,98.9,0.15,0.97,0.0,645,2026-07-02 18:20:24.428456
1 41C c a,weekday,evening,4.5,90.3,1.49,4.29,0.0,907,2026-07-02 18:20:24.428456
1 44 c a,weekday,pm_peak,2.5,74.1,3.06,4.1,0.0,116,2026-07-02 18:20:24.428456
1 52 b,weekday,pm_peak,1.0,35.3,5.81,3.48,0.0,34,2026-07-02 18:20:24.428456
1 68 c a,weekday,pm_peak,4.5,96.7,0.35,1.15,0.0,338,2026-07-02 18:20:24.428456
1 82 a,weekday,evening,4.5,99.3,0.04,0.63,0.0,2149,2026-07-02 18:20:24.428456
1 C3 c,weekday,pm_peak,3.5,84.2,1.74,3.94,0.0,437,2026-07-02 18:20:24.428456
1 C4 c,weekday,pm_peak,1.0,28.1,10.86,6.94,0.0,374,2026-07-02 18:20:24.428456
